City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,tura,25.5198,90.2201,294.8,42,64,0.11,IN,1674530302
316,brae,60.3964,-1.353,282.16,98,100,8.21,GB,1674530303
317,les escoumins,48.1111,-69.0236,268.79,94,100,2.61,CA,1674530304
318,montenegro,42.5,19.3,276.85,100,100,0.51,ME,1674530305
319,agadez,19.75,10.25,291.07,15,0,3.36,NE,1674530306
320,fort dodge,42.4975,-94.168,272.22,86,100,3.09,US,1674530306
321,otjiwarongo,-20.4637,16.6477,290.71,86,99,3.26,NA,1674530307
322,samarkand,39.6542,66.9597,263.83,92,21,1.03,UZ,1674530308
323,seminole,28.7086,-81.2081,287.78,78,0,2.06,US,1674530309
324,sorland,67.667,12.6934,276.07,58,100,12.4,NO,1674530310
325,santa clarita,34.3917,-118.5426,286.28,28,0,2.57,US,1674530310
326,ambilobe,-13.2,49.05,295.48,96,100,0.58,MG,1674530311
327,la ronge,55.1001,-105.2842,260.29,78,100,3.6,CA,1674530312
328,bukama,-9.2,25.85,292.28,97,100,0.35,CD,1674530312
329,mecca,21.4267,39.8261,294.72,74,0,1.25,SA,1674530313
330,gigmoto,13.7796,124.39,299.56,81,63,5.62,PH,1674530314
331,langenhagen,52.45,9.75,275.34,94,100,3.09,DE,1674530314
332,general roca,-39.0333,-67.5833,300.16,23,0,5.12,AR,1674530315
333,ancud,-41.8697,-73.8203,285.5,84,83,4.44,CL,1674530263
334,garavuti,37.5672,68.4469,271.51,76,86,0.27,TJ,1674530316
335,pangody,65.85,74.4859,245.47,92,100,3.88,RU,1674530317
336,fukue,32.6881,128.8419,271.35,69,75,8.75,JP,1674530318
337,barra patuca,15.8,-84.2833,298.04,82,52,4.59,HN,1674530319
338,necochea,-38.5473,-58.7368,289.26,63,0,5.49,AR,1674530320
339,kirakira,-10.4544,161.9205,298.64,92,99,3.14,SB,1674530320
340,muli,2.9167,73.5667,299.77,71,100,1.76,MV,1674530321
341,laguna,38.421,-121.4238,284.2,64,0,3.6,US,1674530310
342,prince rupert,54.3161,-130.3201,280.2,87,100,3.09,CA,1674530122
343,danielskuil,-28.1887,23.5395,294.23,33,80,5.98,ZA,1674530323
344,koping,59.514,15.9926,273.81,88,100,4.7,SE,1674530323
345,deputatskiy,69.3,139.9,237.36,100,95,0.61,RU,1674530324
346,borazjan,29.2666,51.2159,287.53,79,0,0.7,IR,1674530325
347,matagami,49.7502,-77.6328,269.21,93,100,3.6,CA,1674530325
348,concordia,-31.393,-58.0209,298.28,27,0,4.67,AR,1674530326
349,flinders,-34.5833,150.8552,301.51,68,78,4.02,AU,1674530322
350,araouane,18.9048,-3.5265,291.73,15,0,4.11,ML,1674530327
351,la rioja,42.25,-2.5,272.03,96,100,3.66,ES,1674530328
352,paraiso,9.8383,-83.8656,291.63,90,55,2.02,CR,1674530329
353,hualmay,-11.0964,-77.6139,294.89,78,100,4.04,PE,1674530330
354,faratsiho,-19.4,46.95,287.78,99,100,1.66,MG,1674530330
355,santa cruz del sur,20.7147,-77.9956,296.47,75,23,3.82,CU,1674530331
356,aligudarz,33.4006,49.6949,265.89,90,42,1.93,IR,1674530332
357,palu,-0.8917,119.8707,304.12,61,100,1.58,ID,1674530332
358,hervey bay,-25.2986,152.8535,299.26,65,4,3.15,AU,1674530333
359,revda,56.801,59.9303,260.88,95,100,4.59,RU,1674530334
360,tirumullaivasal,11.2333,79.8333,299.29,69,85,5.62,IN,1674530334
361,mitsamiouli,-11.3847,43.2844,299.76,82,99,6.73,KM,1674530335
362,yinchuan,38.4681,106.2731,258.33,24,0,0.59,CN,1674530336
363,niamey,13.5137,2.1098,295.31,26,6,0.0,NE,1674530336
364,charagua,-19.8,-63.2167,294.02,94,97,0.85,BO,1674530337
365,auki,-8.7676,160.7034,299.24,86,100,0.96,SB,1674530338
366,inta,66.0317,60.1659,265.93,80,100,11.07,RU,1674530338
367,palana,59.1167,159.9667,262.66,80,100,4.09,RU,1674530339
368,beidao,34.5686,105.8933,267.57,25,37,1.12,CN,1674530340
369,gorin,51.1983,136.6669,243.1,85,100,0.46,RU,1674530341
370,ati,13.2154,18.3353,295.21,14,100,4.55,TD,1674530341
371,hurricane,37.1753,-113.2899,275.94,68,1,4.88,US,1674530220
372,pringsewu,-5.3582,104.9744,300.34,74,100,0.92,ID,1674530343
373,carutapera,-1.195,-46.02,296.91,93,100,3.07,BR,1674530343
374,san patricio,28.017,-97.5169,292.07,68,97,7.76,US,1674530344
375,valenza,45.0141,8.6414,279.34,89,100,4.23,IT,1674530345
376,coos bay,43.3665,-124.2179,279.81,94,0,2.06,US,1674530345
377,faya,18.3851,42.4509,282.21,83,0,0.36,SA,1674530346
378,lewisville,33.0462,-96.9942,283.49,52,100,3.09,US,1674530347
379,ballina,-28.8667,153.5667,303.71,70,1,6.35,AU,1674530347
380,batagay,67.6333,134.6333,233.01,96,100,0.79,RU,1674530348
381,wajir,1.7471,40.0573,297.08,70,7,5.31,KE,1674530349
382,surgut,61.25,73.4167,263.25,85,100,4.0,RU,1674530350
383,yumen,40.2833,97.2,259.95,47,5,6.98,CN,1674530351
384,zhob,31.3411,69.4481,274.19,45,0,1.11,PK,1674530351
385,ulverstone,-41.15,146.1667,297.16,62,5,2.67,AU,1674530059
386,kargasok,59.0556,80.8572,250.15,89,66,4.33,RU,1674530352
387,yulara,-25.2406,130.9889,306.11,18,79,4.36,AU,1674530206
388,grand-santi,4.25,-54.3833,293.38,99,14,0.9,GF,1674530354
389,guerrero negro,27.9769,-114.0611,287.28,43,17,4.3,MX,1674530297
390,berlevag,70.8578,29.0864,273.15,80,78,16.98,NO,1674530355
391,moose factory,51.2585,-80.6094,261.15,79,100,8.75,CA,1674530289
392,miravci,41.3078,22.435,279.83,95,99,1.92,MK,1674530356
393,boa vista,2.8197,-60.6733,298.14,73,0,2.57,BR,1674530357
394,alice springs,-23.7,133.8833,308.9,14,89,2.06,AU,1674530357
395,sioni,41.9895,45.0239,270.35,84,6,0.54,GE,1674530358
396,khovu-aksy,51.1333,93.6,251.56,84,100,1.15,RU,1674530359
397,fossombrone,43.6908,12.8127,278.34,83,18,1.53,IT,1674530232
398,miles city,46.4083,-105.8406,274.69,75,100,5.14,US,1674530360
399,son la,21.3167,103.9,286.27,67,92,2.85,VN,1674530361
400,nikki,9.9401,3.2108,297.26,20,1,1.59,BJ,1674530361
401,saskylakh,71.9167,114.0833,250.99,82,100,1.63,RU,1674530362
402,ugoofaaru,5.6667,73.0,296.32,93,100,0.9,MV,1674530363
403,huangchuan,32.1272,115.0394,272.21,22,87,5.46,CN,1674530363
404,zhanaozen,43.3,52.8,270.08,46,4,3.91,KZ,1674530364
405,nador,35.174,-2.9287,282.29,57,0,3.09,MA,1674530365
406,kalmunai,7.4167,81.8167,299.18,80,99,4.58,LK,1674530366
407,burnie,-41.0667,145.9167,296.45,52,10,2.78,AU,1674530367
408,molchanovo,57.5817,83.7692,261.46,94,100,3.52,RU,1674530368
409,aguimes,27.9054,-15.4461,289.5,52,75,5.66,ES,1674530368
